Target;Source
iustifico;Biard, Petrus
laboro;Alanus, Petrus
lacrima;Biard, Petrus
lacrimo;Gorran, Maurit
lacrimor;Gorran, Petrus
lactuca;Alanus, Angel
lagena;Alanus, Angel
lamia;Alanus, Angel
lana;Alanus, Angel
lancea;Alanus, Angel
laquearium;Alanus, Angel
later;Alanus, Angel
lauacrum;Alanus, Petrus
lectulus;Alanus, Angel
legatus;Alanus, Angel
lego;Alanus, Petrus
letitia;Gorran, Maurit
letor;Alanus, Biard
leuis;Alanus, Biard
liberatio;Gorran, Petrus
libertas;Maurit, Petrus
ligatio;Biard, Maurit
linum;Alanus, Angel
littera;Alanus, Petrus
locusta;Alanus, Angel
lorica;Alanus, Maurit
luceo;Alanus, Petrus
ludo;Alanus, Maurit
lugeo;Biard, Gorran
lumbus;Angel, Maurit
luter;Alanus, Angel
maceria;Alanus, Angel
magnifico;Alanus, Petrus
magnitudo;Alanus, Maurit
maiestas;Alanus, Biard
maledictio;Gorran, Petrus
malum;Angel, Biard
mamma;Alanus, Angel
mandragora;Alanus, Angel
manducatio;Gorran, Maurit
manduco;Alanus, Petrus
manifestatio;Gorran, Maurit
marmor;Alanus, Angel
mater;Alanus, Angel
materialis;Biard, Petrus
maxilla;Alanus, Angel
medicina;Biard, Gorran
medicus;Alanus, Maurit
melior;Alanus, Biard
melius;Biard, Petrus
membrum;Angel, Petrus
memor;Alanus, Biard
memoro;Biard, Gorran
mentior;Biard, Petrus
mercenarius;Alanus, Angel
miles;Alanus, Angel
milicia;Maurit, Petrus
militia;Alanus, Angel
milito;Gorran, Petrus
minimus;Alanus, Petrus
minister;Alanus, Gorran
mirabilis;Biard, Petrus
miror;Alanus, Biard
misereor;Biard, Petrus
misericors;Biard, Petrus
missio;Gorran, Petrus
missus;Guido, Maurit
misterium;Biard, Petrus
modius;Alanus, Angel
molestia;Maurit, Petrus
morsus;Alanus, Maurit
mortalis;Alanus, Petrus
motus;Alanus, Petrus
moueo;Alanus, Petrus
multipliciter;Biard, Petrus
mulus;Alanus, Angel
munitio;Angel, Maurit
murenula;Alanus, Angel
murmuro;Alanus, Petrus
murus;Alanus, Angel
musca;Alanus, Angel
myrrha;Alanus, Angel
myrtus;Alanus, Angel
nardus;Alanus, Angel
nas;Angel, Petrus
nasus;Alanus, Angel
nauicula;Angel, Maurit
neruus;Alanus, Angel
nescio;Alanus, Petrus
nihil;Alanus, Petrus
nimis;Alanus, Petrus
nitrum;Alanus, Angel
nix;Alanus, Angel
nolo;Alanus, Gorran
noster;Biard, Petrus
numero;Alanus, Gorran
numerus;Alanus, Petrus
nuntius;Biard, Maurit
nuptiae;Angel, Petrus
nux;Alanus, Angel
nycticorax;Alanus, Angel
obedientia;Maurit, Petrus
occultus;Maurit, Petrus
occurro;Alanus, Petrus
odio;Alanus, Biard
officium;Gorran, Petrus
olla;Alanus, Angel
onocentaurus;Alanus, Angel
onus;Alanus, Petrus
oportet;Biard, Gorran
