,lemma,source,collection_count,is_unique
314,frenum,anonymous_angelus.predicted_лем.csv,3.0,False
315,festuca,anonymous_angelus.predicted_лем.csv,1.0,True
316,fex,anonymous_angelus.predicted_лем.csv,2.0,False
317,fiala,anonymous_angelus.predicted_лем.csv,1.0,True
318,ficus,anonymous_angelus.predicted_лем.csv,2.0,False
319,filius,anonymous_angelus.predicted_лем.csv,7.0,False
320,filia,anonymous_angelus.predicted_лем.csv,3.0,False
321,Fimbria,anonymous_angelus.predicted_лем.csv,2.0,False
322,firmamentum,anonymous_angelus.predicted_лем.csv,2.0,False
323,fistula,anonymous_angelus.predicted_лем.csv,2.0,False
324,fiscella,anonymous_angelus.predicted_лем.csv,1.0,True
325,folium,anonymous_angelus.predicted_лем.csv,4.0,False
326,flos,anonymous_angelus.predicted_лем.csv,4.0,False
327,foramen,anonymous_angelus.predicted_лем.csv,2.0,False
328,forceps,anonymous_angelus.predicted_лем.csv,1.0,True
329,fortis,anonymous_angelus.predicted_лем.csv,3.0,False
330,fortitudo,anonymous_angelus.predicted_лем.csv,4.0,False
331,frons,anonymous_angelus.predicted_лем.csv,3.0,False
332,fornax,anonymous_angelus.predicted_лем.csv,3.0,False
333,fossa,anonymous_angelus.predicted_лем.csv,2.0,False
334,vouea,anonymous_angelus.predicted_лем.csv,3.0,False
335,finis,anonymous_angelus.predicted_лем.csv,6.0,False
336,fuga,anonymous_angelus.predicted_лем.csv,3.0,False
337,fulgor,anonymous_angelus.predicted_лем.csv,2.0,False
338,fulgur,anonymous_angelus.predicted_лем.csv,2.0,False
339,fulmen,anonymous_angelus.predicted_лем.csv,2.0,False
340,flumen,anonymous_angelus.predicted_лем.csv,3.0,False
341,Fluuius,anonymous_angelus.predicted_лем.csv,3.0,False
342,fluctus,anonymous_angelus.predicted_лем.csv,4.0,False
343,fumus,anonymous_angelus.predicted_лем.csv,4.0,False
344,funda,anonymous_angelus.predicted_лем.csv,2.0,False
345,fundamentum,anonymous_angelus.predicted_лем.csv,4.0,False
346,fluenta,anonymous_angelus.predicted_лем.csv,1.0,True
347,funis,anonymous_angelus.predicted_лем.csv,3.0,False
348,funiculus,anonymous_angelus.predicted_лем.csv,4.0,False
349,Fur,anonymous_angelus.predicted_лем.csv,2.0,False
350,furor,anonymous_angelus.predicted_лем.csv,4.0,False
351,frigus,anonymous_angelus.predicted_лем.csv,2.0,False
352,fructus,anonymous_angelus.predicted_лем.csv,6.0,False
353,frumentum,anonymous_angelus.predicted_лем.csv,4.0,False
354,Galaad,anonymous_angelus.predicted_лем.csv,1.0,True
355,Galbanus,anonymous_angelus.predicted_лем.csv,1.0,True
356,Gallus,anonymous_angelus.predicted_лем.csv,3.0,False
357,Gallina,anonymous_angelus.predicted_лем.csv,1.0,True
